id	gender	age	profession	sportiv	smoker	interestd in having a smoke shop	conservative or liberal	RT @ericamtucker: Here is my story... Thx @HIGH_TIMES_Mag!! 💖 @HERBworthy @SnoopDogg @JohnMayer @tommychong #thetuckerfight #legalizeit #ma…	Add your name to tell AG Jeff Sessions we won't let him drag us back to darkest days of the #WarOnDrugs #LegalizeIt https://t.co/Y6tfTzVO2r	Gov. Scott signs medical #marijuana plan #cannabis  https://t.co/Is3DBx8fue #medicalmarijuana #CBD… https://t.co/3GOHye7ABn	@PAHouseGOP Pennsylvania should declare itself independent of federal marijuana law  #legalizeit	Long lines in Nevada as recreational marijuana goes on salehttps://t.co/lDpDctJzqI#StonerMagazine #CNN #LasVegas… https://t.co/HJ9WoxuaR8	Public Consumption Gets Another Go in Alaska https://t.co/Tz3mnlafNv #legalizeit #sativa #cannabis https://t.co/Fkpyna6gdW	RT @RadioRiddler: Working on a special remix! #Reggae #PeterTosh #LegalizeIt	Here Are Five Ways #Marijuana Is Better For You Than Alcohol https://t.co/WDrUbLPvow #legalizeit #dope #mmj https://t.co/pJQ08ESHXN	what the trap going to do when weed becomes legal in every state? it will be a sad story, but shit it was good whil… https://t.co/SOxH8A7noW	#Cannabis around the world!  #legalizeit #marijuana #naturalhealth https://t.co/D8XYeWH03f
302	female	75	student (highschool)	true	true	false	true	0	1	0	0	1	1	1	1	0	1	1	0	1	0	0	1	0	1	0	0	1	0	1	1	1	1	1	1	1	1	0	0	1	1	0	1	1	0	0	1	1	1	0	1	0	0	1	1	1	1	0	1	1	0	1	0	0	1	1	0	0	1	0	0	1	1	0	1	0	1	1	1	0	1	1	1	1	0	0	1	1	1	0	0	0	0	1	0	0	1	0	0	1	0	1	1	1	0	0	0
303	other	40	student (university)	false	false	true	false	1	0	1	1	1	1	1	0	1	1	0	0	0	0	1	1	0	1	1	1	1	1	1	0	1	1	1	1	0	0	1	0	1	0	1	1	0	0	0	0	0	1	1	0	0	1	0	0	0	1	0	0	1	0	0	1	0	0	0	1	1	1	1	0	0	0	0	1	0	0	1	1	0	1	0	1	1	1	1	0	0	1	1	0	0	0	0	1	1	1	1	0	1	0	1	1	0	1	1	1
304	male	0	student (highschool)	true	false	false	true	0	0	0	1	1	0	1	0	0	1	0	0	1	1	1	1	1	1	0	1	1	0	1	0	1	1	1	0	1	1	0	0	1	0	0	0	0	1	1	1	1	1	0	0	1	0	0	1	1	1	0	1	1	1	0	0	0	0	0	0	1	0	1	0	0	1	0	0	0	0	0	0	1	1	0	1	1	1	1	1	1	0	0	0	1	0	1	0	0	1	0	1	1	0	1	0	0	1	1	0
305	other	93	student (university)	false	true	true	true	1	1	1	1	1	1	0	1	1	0	0	1	0	1	0	0	1	0	0	1	0	1	0	0	1	0	1	1	0	0	1	0	0	1	0	1	1	0	1	1	1	0	1	0	0	0	0	1	1	0	0	1	0	1	1	1	1	1	0	0	1	1	0	0	0	0	0	1	1	1	0	0	0	1	1	0	0	1	1	1	1	0	0	0	0	1	1	1	1	1	0	0	0	1	0	0	1	1	1	0
306	male	11	other	true	false	false	true	0	1	0	1	1	1	1	1	1	0	1	0	0	1	1	1	0	0	0	0	0	0	1	1	1	0	1	1	1	0	1	1	1	0	1	0	1	1	1	0	1	1	1	1	1	1	1	1	1	0	1	1	0	1	1	0	1	1	0	0	0	0	1	1	1	0	1	1	0	0	1	0	1	0	0	0	1	1	0	0	1	1	1	1	0	0	1	1	1	0	0	0	1	0	0	0	1	1	1	1
307	other	70	employee	false	false	true	true	1	0	1	1	0	0	1	1	1	1	1	0	0	0	0	1	0	0	1	1	0	1	1	1	1	0	0	1	1	0	1	1	1	0	0	1	1	1	1	1	1	1	1	1	0	1	1	1	1	1	0	0	1	1	1	1	0	0	0	0	1	0	0	0	1	0	0	0	1	1	0	1	0	1	1	1	1	1	0	0	1	1	1	0	0	0	0	0	0	0	0	1	1	0	1	0	1	1	0	0
308	male	91	unemployed/seeking employment	false	false	false	true	0	1	0	0	0	0	1	0	1	0	1	1	1	0	1	1	1	1	0	1	1	0	1	1	1	0	1	1	1	0	1	1	0	0	0	0	0	0	1	1	1	1	0	0	0	1	1	1	1	1	1	0	1	0	1	0	1	0	0	1	0	1	1	0	1	0	0	0	0	1	1	0	1	0	1	1	0	0	1	0	1	0	1	0	1	1	1	1	0	0	1	0	0	1	0	1	0	0	0	1
309	male	60	unemployed/seeking employment	false	true	true	true	1	1	1	1	0	1	1	0	1	1	0	1	0	0	0	0	1	1	0	0	0	0	1	0	1	1	1	1	1	1	1	0	0	0	1	1	0	0	1	1	1	0	1	0	1	0	0	0	0	1	0	0	1	0	0	1	0	1	1	1	1	1	0	1	0	1	1	1	0	0	1	0	0	0	1	1	0	1	0	1	0	0	0	1	0	1	0	0	1	0	0	1	1	1	1	1	1	0	0	0
310	female	31	student (university)	true	false	false	true	0	0	1	1	1	1	1	1	1	0	0	1	0	1	0	0	1	1	0	0	0	1	0	0	1	0	1	1	1	0	0	1	0	0	1	1	1	0	0	0	0	0	1	0	1	1	0	1	1	0	0	1	1	0	1	1	0	1	0	1	0	0	1	0	1	0	1	1	0	0	1	1	0	1	1	0	0	1	0	0	0	1	0	1	0	1	0	1	1	1	0	1	0	0	0	1	0	0	1	1
311	male	90	employee	false	false	true	false	1	1	1	0	1	0	0	1	1	1	1	1	1	0	1	0	0	1	0	0	0	1	1	0	1	1	1	1	1	1	1	1	0	0	0	0	1	0	1	0	0	0	0	0	1	1	0	1	1	0	1	1	0	0	1	0	0	0	1	1	0	1	1	0	0	1	0	1	0	1	1	0	1	1	1	1	1	0	1	0	0	0	1	0	0	0	1	0	1	1	0	1	1	0	0	1	0	1	0	1
312	other	29	self-employed	false	false	false	false	1	1	0	0	1	0	0	1	1	0	1	0	0	1	0	1	0	0	0	1	1	1	1	1	1	1	0	1	1	0	1	1	0	0	0	0	0	0	0	1	1	0	0	1	0	1	0	0	0	1	0	0	1	1	1	0	0	0	0	0	1	1	1	0	0	0	0	0	1	0	1	1	1	0	0	1	0	1	0	1	1	1	1	1	1	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0
313	other	81	employee	false	false	true	true	1	1	1	0	1	0	0	1	0	1	1	1	1	1	1	0	0	1	0	0	0	1	0	0	0	1	0	1	0	0	1	0	0	0	0	1	0	0	1	1	0	1	1	1	0	0	0	0	0	1	0	0	1	1	1	0	1	0	0	0	1	1	1	1	1	1	1	1	0	1	0	1	0	0	0	0	0	0	1	1	0	1	1	1	1	1	0	1	1	1	0	1	1	0	0	1	1	0	1	0
314	other	90	unemployed/seeking employment	false	true	false	true	1	0	0	1	1	1	1	1	1	0	1	1	1	1	0	1	1	1	1	1	0	0	1	1	1	1	0	0	0	1	1	1	0	0	1	1	1	1	0	1	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	1	1	1	1	1	1	1	1	1	1	1	0	1	0	0	1	0	1	1	1	0	1	0	0	1	1	0	1	1	0	1	0	0	0	1	0	1	1	0	0
315	other	58	student (university)	true	false	false	false	0	1	1	0	1	1	0	1	1	0	0	1	1	1	0	0	1	1	1	0	1	0	1	1	0	1	1	1	0	1	0	0	1	0	1	0	0	1	0	0	1	0	0	0	0	1	0	0	1	0	1	0	0	0	1	1	1	1	0	0	0	0	0	1	1	1	1	1	0	0	0	0	1	1	1	0	0	1	1	0	1	1	1	1	0	1	0	1	0	0	1	1	1	1	0	1	0	0	0	1
316	male	84	self-employed	false	false	false	true	1	1	0	1	0	1	1	1	0	1	0	1	1	1	0	1	0	1	0	0	0	1	0	1	1	1	1	1	1	1	0	1	0	1	0	0	1	0	1	1	0	1	0	1	1	1	1	0	0	0	0	0	0	1	0	1	0	1	1	0	1	1	1	1	1	0	0	1	0	0	0	1	0	1	0	0	0	1	0	1	0	0	0	0	0	1	1	0	1	0	1	1	0	1	1	1	0	0	1	1
317	male	13	student (university)	false	false	true	true	1	0	0	1	1	1	1	1	0	1	0	1	1	0	0	0	1	1	0	1	0	1	0	0	0	0	0	1	0	1	0	1	0	1	1	1	1	0	1	1	1	0	0	1	1	1	1	1	0	1	1	1	0	0	1	1	0	0	0	0	1	1	1	1	1	0	1	0	0	0	1	0	0	0	0	0	1	0	1	1	1	0	0	0	1	0	0	1	1	0	0	0	1	1	0	1	0	1	0	1
318	male	74	unemployed/seeking employment	false	false	true	true	1	1	0	0	1	1	1	0	1	1	0	0	1	0	1	0	0	1	1	1	1	1	1	1	1	0	1	1	0	1	0	1	1	1	1	1	0	0	1	0	1	1	1	0	1	1	0	0	0	0	0	0	0	1	1	0	0	1	1	0	1	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	1	1	1	0	1	0	1	1	1	0	0	1	1	1	0	0	1	0	1	1	0	1	0
319	male	64	unemployed/seeking employment	false	false	false	true	0	1	1	0	0	0	1	1	0	1	0	0	1	1	0	0	1	0	0	0	1	0	1	0	0	1	0	1	1	1	1	0	0	1	0	0	0	1	0	1	0	1	1	1	1	1	1	1	0	1	0	1	1	1	0	0	0	0	1	0	0	0	0	1	1	0	0	0	0	1	0	1	0	1	0	1	0	0	1	0	0	0	1	0	0	1	0	0	0	1	1	0	1	0	1	1	0	0	0	0
320	female	49	employee	true	true	true	true	0	1	0	1	0	1	0	0	0	1	1	0	0	1	1	0	0	1	0	1	0	1	0	0	1	1	1	0	1	1	1	1	0	1	0	0	0	0	1	1	0	0	1	1	1	1	1	1	0	1	1	0	0	1	0	1	1	0	0	0	0	0	1	0	0	0	0	0	0	1	1	0	0	1	1	0	1	1	0	0	1	0	0	0	1	1	0	1	1	1	0	1	1	1	0	0	1	1	0	1
321	female	61	student (university)	true	false	true	true	0	1	1	1	1	0	0	1	1	0	1	0	0	1	0	0	0	0	0	0	0	1	0	1	1	1	1	0	1	0	1	0	0	0	1	1	0	0	1	1	1	0	0	1	0	0	1	1	1	0	0	0	1	0	0	1	0	0	0	1	1	0	1	1	1	1	1	0	0	0	1	0	0	1	0	0	1	0	1	1	0	0	0	0	1	1	0	0	0	1	1	1	0	0	0	0	1	1	1	1
322	female	18	self-employed	true	false	false	false	1	1	0	0	0	1	0	1	1	1	1	0	0	0	1	0	0	0	1	1	1	1	1	0	0	1	0	1	1	1	1	0	1	0	1	1	0	1	0	1	1	0	0	0	1	0	0	0	0	1	1	0	0	1	0	0	0	0	0	1	1	0	1	0	0	1	0	0	0	1	0	0	1	0	1	0	1	0	0	0	1	1	0	1	0	1	0	1	1	0	1	1	1	1	1	1	0	0	1	0
323	male	22	unemployed/seeking employment	false	true	true	true	1	1	1	1	0	1	0	0	1	1	1	0	0	1	0	1	0	0	0	0	0	0	1	0	0	0	0	1	0	1	1	1	1	0	1	0	0	0	0	1	0	0	1	1	0	0	1	1	1	1	0	0	1	1	1	0	0	0	0	0	1	1	1	1	0	0	1	1	1	0	0	0	0	0	1	1	1	1	1	1	0	0	1	0	0	1	0	0	0	0	1	0	0	0	1	0	0	0	0	0
324	female	17	student (university)	true	true	true	false	0	1	0	0	0	0	0	1	1	0	1	1	1	0	0	0	0	1	1	0	0	1	1	1	0	0	1	0	1	1	1	1	1	0	0	0	1	1	0	1	0	1	0	1	1	1	1	1	1	0	1	1	0	0	1	1	0	0	1	0	1	1	1	0	1	1	1	1	1	0	0	0	1	0	1	1	0	0	0	0	1	0	1	0	0	0	1	1	0	1	0	0	0	0	0	1	0	1	0	0
325	male	83	employee	true	true	true	true	1	0	0	1	1	1	1	1	0	1	0	1	1	1	1	1	1	0	0	1	0	0	0	1	0	1	0	0	1	0	1	0	0	0	0	1	0	1	0	0	1	1	0	0	1	0	0	1	1	1	0	0	1	1	1	0	1	1	0	1	0	0	1	1	0	1	0	0	1	0	1	1	1	1	0	1	1	0	1	0	0	1	1	1	1	1	1	1	0	1	1	0	0	0	0	1	0	1	1	1
326	other	70	employee	true	false	false	false	0	0	0	0	0	0	1	1	1	1	1	0	1	0	0	0	1	1	0	1	0	1	0	1	1	0	0	1	1	0	0	1	1	0	1	0	1	1	1	1	1	1	1	1	1	0	1	0	1	0	1	1	0	1	0	1	1	1	0	0	1	1	1	0	0	0	1	1	1	1	1	1	0	1	1	0	0	1	1	0	1	0	0	0	1	0	1	0	1	0	1	1	1	0	1	1	0	0	1	1
327	male	41	self-employed	true	true	false	true	0	0	0	1	0	0	0	0	1	1	1	0	1	1	1	0	0	1	1	1	0	0	1	0	1	1	1	0	0	1	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	1	0	0	1	0	1	1	1	0	0	1	0	0	0	0	0	1	1	0	0	0	1	1	0	1	0	0	1	1	0	0	1	1	0	1	0	1	1	0	0	0	0	1	1	1	1	0	1	0	0	1	1
328	other	50	unemployed/seeking employment	true	true	false	false	0	1	0	0	0	1	0	1	0	0	1	1	1	0	1	0	0	0	0	1	1	1	0	1	1	0	1	0	1	1	1	1	0	0	0	0	1	1	1	0	0	0	1	1	1	1	0	1	1	1	0	0	1	0	0	0	1	0	1	0	1	1	0	0	1	1	1	1	1	0	0	1	1	1	1	0	1	0	0	0	0	0	0	1	1	1	1	0	0	0	1	1	0	0	1	0	1	1	1	1
329	female	89	other	false	true	true	true	1	0	0	0	1	1	0	0	1	0	1	1	1	1	0	0	1	1	0	1	1	1	0	1	0	1	1	0	0	1	0	0	1	0	1	0	1	0	0	1	1	1	0	0	0	0	0	0	1	0	1	0	1	1	0	1	0	0	0	1	1	0	1	1	1	1	1	0	1	1	1	1	1	0	1	0	0	0	1	1	0	0	1	0	0	1	0	1	0	1	0	0	1	0	0	0	1	0	1	1
330	other	22	self-employed	true	true	true	false	0	0	1	1	0	0	0	1	1	0	1	1	0	1	1	1	0	0	1	0	0	1	1	0	1	1	1	1	1	1	0	0	1	1	1	0	0	1	1	0	1	0	0	0	0	0	1	0	0	0	0	1	0	1	1	0	0	0	0	0	0	0	1	0	0	1	0	0	1	1	0	1	1	1	0	1	1	1	1	1	0	1	0	1	0	1	0	0	0	1	1	0	0	0	0	0	1	1	1	1
331	other	42	self-employed	true	true	true	false	1	0	1	0	1	0	0	1	0	1	0	0	0	0	0	1	1	1	0	0	0	0	0	1	0	1	0	0	1	0	1	0	1	0	1	0	0	0	0	0	0	0	0	1	0	1	0	1	0	0	1	0	0	1	0	1	0	1	0	1	0	0	0	1	0	1	1	0	0	1	1	1	0	0	0	0	1	0	0	1	1	1	0	1	1	1	0	1	0	1	0	0	0	1	1	0	1	0	1	1
332	other	1	student (university)	false	false	true	false	0	0	1	1	1	1	0	1	0	1	0	1	1	1	0	0	0	1	0	0	0	0	1	1	1	0	1	1	1	1	0	0	0	0	0	1	0	0	0	1	0	0	0	0	1	0	1	0	1	1	0	1	1	0	1	1	1	0	0	0	0	0	1	0	0	0	0	0	0	1	0	1	0	0	1	0	0	1	0	0	1	0	1	1	1	0	1	1	1	1	1	1	1	0	1	0	1	1	1	0
333	male	69	employee	true	true	true	false	1	0	1	1	1	1	1	1	1	0	1	0	1	0	0	1	1	0	1	1	0	1	1	0	1	0	1	1	0	0	0	0	1	1	0	0	1	0	0	1	0	1	0	1	1	0	0	1	1	1	0	1	1	0	1	0	0	0	1	1	0	1	0	0	1	0	0	0	0	1	1	1	0	0	0	1	1	0	1	1	0	0	1	1	1	1	0	1	1	1	0	1	0	1	1	1	0	0	0	0
334	female	14	employee	false	false	true	true	0	0	1	1	0	0	0	0	1	1	0	0	1	1	1	1	1	0	0	1	0	0	1	1	1	0	0	0	1	1	0	0	0	1	1	1	1	0	1	0	1	0	1	1	1	0	1	0	1	0	0	1	1	1	0	0	0	0	1	0	1	1	0	0	1	1	1	1	0	1	1	1	1	1	0	1	0	1	1	1	1	0	0	0	1	0	0	1	1	0	0	0	0	1	1	0	1	0	0	1
335	male	88	employee	true	true	false	true	0	1	1	1	1	0	1	1	1	0	0	0	1	0	0	1	1	1	0	0	1	0	0	1	1	0	0	0	1	1	0	0	1	1	0	1	0	0	1	0	0	0	1	1	1	0	1	0	1	1	1	0	0	1	0	0	0	1	1	0	0	0	0	0	1	0	0	0	1	0	0	1	0	1	1	0	1	1	0	0	0	1	1	0	1	0	1	0	1	0	1	0	0	1	0	1	0	1	0	0
336	other	55	student (university)	true	false	true	false	0	0	1	1	1	1	1	0	1	0	0	1	0	0	1	1	0	1	0	1	0	1	1	0	1	0	0	1	0	1	0	1	1	1	0	1	0	1	0	0	1	0	0	1	0	0	1	1	1	1	0	0	1	1	1	0	0	0	0	1	0	1	1	0	1	1	1	1	1	1	1	1	0	1	0	0	1	0	1	1	0	1	1	1	0	0	0	0	1	0	0	0	0	0	0	0	1	1	0	0
337	female	49	unemployed/seeking employment	true	true	true	false	1	1	0	1	1	1	1	1	0	1	0	1	1	0	1	0	0	0	0	0	0	0	1	0	1	0	0	1	1	1	0	1	1	1	0	1	0	1	1	1	1	1	1	0	1	1	1	0	0	0	0	1	0	0	0	1	1	0	1	1	0	1	0	1	0	0	0	1	1	1	0	0	0	1	1	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	1	1	1	1
338	male	74	student (highschool)	true	false	false	false	1	1	0	1	1	1	1	1	0	0	1	0	0	1	0	1	1	1	1	1	0	0	1	0	0	1	1	0	0	0	1	1	0	0	0	1	0	0	1	0	0	1	0	1	0	1	1	1	0	1	0	0	1	0	0	0	1	0	0	0	1	0	0	1	1	0	1	0	0	1	0	1	0	0	0	1	0	0	1	0	1	1	1	0	1	1	1	0	1	1	1	0	1	1	1	0	1	1	1	1
339	male	66	unemployed/seeking employment	false	false	false	true	1	0	1	0	1	1	0	1	1	0	0	1	1	0	0	1	0	0	1	0	1	1	0	0	1	0	0	0	1	1	1	0	1	1	0	1	1	1	1	1	0	0	0	0	1	1	1	0	0	1	1	1	1	1	0	0	0	0	1	0	0	0	1	0	1	0	1	0	1	1	1	1	1	0	1	0	1	1	1	1	1	0	0	0	1	0	1	1	1	1	0	1	1	0	0	1	0	0	1	1
340	male	18	employee	true	true	true	true	0	1	0	1	1	0	1	1	0	0	0	0	1	0	1	0	1	0	1	0	1	0	1	0	0	1	1	0	0	0	0	1	1	1	0	1	0	0	1	0	0	0	0	0	1	1	0	1	0	0	1	1	0	1	1	0	1	0	0	0	1	1	1	1	1	0	1	0	1	0	0	0	1	1	0	0	0	0	1	0	0	1	0	0	1	0	0	0	1	0	0	1	0	1	1	1	1	0	1	1
341	other	52	student (university)	true	false	true	false	0	0	1	1	0	0	0	1	0	1	1	1	1	0	1	0	1	0	0	0	1	1	0	0	1	0	1	0	1	0	0	1	0	1	1	1	1	0	1	0	1	0	1	0	0	0	0	1	0	1	0	1	0	0	1	1	0	0	1	0	1	1	1	0	0	0	0	1	1	1	0	0	0	1	0	1	0	0	1	0	0	1	1	1	0	0	1	0	1	0	1	0	1	1	1	1	1	0	1	1
342	other	30	self-employed	false	true	true	true	1	0	1	0	1	1	1	1	0	1	0	1	1	0	0	0	1	0	0	1	0	0	0	0	1	0	1	1	0	0	0	1	1	0	0	1	0	1	1	1	0	1	0	1	1	1	1	1	0	0	0	0	1	0	1	1	0	0	0	0	1	1	1	1	0	1	0	0	0	0	1	0	1	1	1	0	0	1	1	1	0	0	0	1	0	1	1	0	0	1	1	0	0	1	1	0	1	0	1	1
343	male	94	student (highschool)	false	true	true	true	0	0	0	1	0	0	0	0	0	0	0	0	1	1	1	0	0	1	1	0	1	1	1	1	0	1	1	1	0	1	0	1	1	0	0	0	1	1	0	1	1	1	0	1	0	0	1	0	1	1	1	1	1	1	0	1	1	1	1	1	1	0	1	0	0	0	1	0	0	1	1	1	0	1	1	1	0	0	1	0	1	1	0	0	0	1	0	0	1	1	1	1	1	0	0	0	0	0	0	0
344	female	0	student (highschool)	true	true	true	true	1	1	1	1	1	1	0	0	1	0	0	0	1	0	1	0	0	1	1	0	0	0	1	0	0	1	1	1	0	0	1	0	1	1	0	0	1	0	1	0	1	1	1	0	0	1	1	0	1	0	1	0	0	0	0	1	1	0	1	0	0	0	0	1	1	0	0	0	1	0	0	0	1	0	1	0	0	0	1	1	1	0	0	1	0	0	0	1	0	1	0	1	1	1	0	1	1	1	1	1
345	female	37	student (university)	false	true	false	false	0	1	1	1	1	0	1	0	0	1	0	1	0	1	0	1	1	0	0	0	1	0	1	0	1	0	0	0	1	1	1	0	1	1	1	1	0	1	1	1	1	0	0	1	1	1	1	0	0	0	1	0	0	0	0	0	0	0	0	1	1	0	0	0	0	1	0	0	0	1	1	0	0	1	0	1	1	1	0	1	0	0	0	1	1	0	0	1	0	1	0	1	0	0	0	1	1	1	0	1
346	other	50	employee	false	true	true	false	1	1	1	1	1	1	0	1	1	0	1	0	1	1	0	1	1	1	1	0	1	0	0	0	1	1	0	0	1	0	0	0	0	1	0	1	0	0	1	0	0	1	1	1	1	1	0	1	1	1	0	0	0	0	1	1	1	0	0	1	1	1	0	0	0	1	0	1	0	0	0	1	1	1	0	0	1	1	1	0	0	1	0	1	1	0	1	1	0	0	1	1	0	1	0	1	0	1	0	1
347	female	58	other	false	true	false	true	1	1	0	0	0	0	1	0	1	0	1	0	0	0	1	1	1	0	1	0	1	1	1	0	0	1	0	0	0	0	0	0	1	1	0	1	0	0	1	0	1	1	1	1	0	0	1	0	0	0	1	1	1	1	0	1	0	1	0	0	0	1	1	1	1	0	1	0	1	0	0	1	1	0	1	0	0	1	0	0	1	1	1	1	1	1	1	1	0	1	1	0	1	0	0	1	1	1	0	0
348	female	35	employee	true	true	false	false	0	0	1	1	1	1	0	1	1	1	0	0	1	1	0	1	1	0	1	1	0	0	0	1	1	1	1	1	1	0	1	0	0	1	1	1	1	1	1	0	0	1	1	1	1	0	1	0	0	1	0	1	0	0	0	0	1	1	1	0	0	0	1	1	0	0	0	0	0	0	1	0	1	1	1	0	0	0	1	0	0	1	1	1	0	0	0	1	1	1	1	1	0	1	0	1	1	0	1	1
349	female	70	other	false	false	true	false	0	1	0	1	0	1	1	0	1	0	1	1	0	1	0	0	1	0	1	0	1	0	0	1	1	1	1	1	1	0	1	1	0	0	0	1	1	1	1	0	0	0	0	0	1	1	0	1	0	1	1	0	0	0	0	0	1	1	0	0	0	0	1	0	0	0	0	0	1	1	0	1	0	0	1	1	1	0	0	0	1	0	1	1	0	0	1	1	0	1	1	0	0	1	0	1	0	1	0	0
350	male	50	other	true	true	false	true	1	0	0	1	1	0	1	1	1	0	0	0	1	1	0	0	1	0	1	0	0	1	0	1	1	1	0	0	1	0	1	0	1	0	0	1	1	0	1	0	1	0	0	0	1	1	1	1	1	0	0	0	1	0	0	1	1	0	1	1	0	1	0	0	1	1	0	1	0	0	0	1	1	1	0	1	0	0	1	0	0	1	1	1	1	0	1	0	1	0	1	0	0	1	0	0	0	1	0	1
351	other	84	student (university)	true	true	false	false	1	1	0	0	1	1	1	1	1	0	0	1	0	1	1	0	1	0	1	0	1	0	1	0	1	1	1	1	1	1	1	0	1	1	1	0	1	1	1	0	0	1	0	1	1	1	1	1	0	1	0	1	1	0	1	1	0	1	1	1	1	0	1	0	0	1	0	0	1	1	1	1	1	1	1	0	0	1	1	1	0	1	1	0	1	1	1	1	1	1	0	0	0	1	0	0	1	0	1	1
352	other	85	employee	false	false	true	true	0	0	0	0	1	0	1	0	1	1	1	0	0	0	1	1	0	1	1	0	0	0	1	0	1	0	1	1	0	0	1	1	1	0	1	0	1	1	1	0	1	1	0	0	0	0	1	0	1	0	0	1	0	1	0	0	1	0	0	1	1	0	0	1	0	1	0	0	0	1	1	1	1	1	1	1	0	0	0	1	1	0	0	1	1	0	0	1	1	1	0	1	1	1	1	0	0	0	1	0
353	male	86	other	true	true	false	false	0	1	0	0	0	1	1	1	0	1	1	0	0	1	1	1	1	0	0	1	0	0	1	1	0	1	1	0	0	1	0	0	0	1	0	1	0	1	0	1	1	1	0	0	1	1	1	0	0	1	1	0	0	1	1	1	1	0	1	0	1	1	0	1	1	1	0	1	0	0	1	0	0	0	1	1	0	1	0	0	1	0	1	1	0	1	1	1	0	0	1	1	0	0	0	0	1	1	0	1
354	male	50	student (highschool)	false	false	false	false	0	1	1	1	0	0	0	1	0	0	0	1	0	1	1	0	1	0	1	0	1	0	0	1	0	0	1	0	1	0	0	0	0	1	0	0	1	1	1	0	0	1	1	0	0	1	1	0	1	1	1	1	1	0	0	1	1	0	1	0	0	1	0	1	1	1	0	0	1	1	1	0	1	1	0	1	1	0	1	0	0	0	1	0	1	0	0	1	1	0	0	0	1	1	0	1	0	1	0	1
355	male	7	unemployed/seeking employment	false	false	true	false	0	1	0	1	1	1	1	1	1	0	1	1	1	1	0	0	1	1	1	1	1	0	0	0	0	1	1	1	1	0	0	1	0	0	1	1	0	1	0	1	0	0	1	1	1	1	0	0	1	1	0	0	1	1	1	0	1	1	0	0	1	1	1	1	0	0	0	0	0	1	0	0	1	1	0	1	0	0	0	1	1	0	0	1	0	0	1	1	1	0	1	0	0	1	0	0	1	0	1	1
356	other	32	unemployed/seeking employment	false	false	true	false	0	1	1	1	0	1	1	1	1	0	0	0	1	1	0	1	0	1	0	0	0	0	0	0	1	0	0	1	0	1	0	1	0	1	0	0	1	0	0	1	1	0	1	0	1	0	0	1	1	0	0	0	0	1	1	0	1	1	0	1	1	0	0	1	1	1	1	0	1	0	0	0	1	0	0	0	1	1	1	0	0	1	1	0	1	0	0	0	1	0	1	1	0	0	1	1	1	0	1	1
357	female	60	self-employed	false	false	false	true	0	0	0	1	0	0	1	0	0	1	1	1	1	1	0	0	1	1	1	0	1	0	0	1	1	0	1	0	0	0	0	0	0	1	1	1	0	0	1	0	1	0	0	1	1	0	0	1	1	0	1	1	1	0	0	1	1	0	0	1	0	0	0	0	0	1	0	1	0	0	1	1	0	1	1	1	1	1	1	0	1	1	0	0	0	0	1	1	0	0	0	1	1	1	0	1	0	1	0	1
358	male	30	student (university)	false	true	false	false	1	0	1	0	0	1	1	0	0	1	1	1	0	1	1	0	1	1	0	0	1	0	1	0	1	0	1	1	0	0	0	1	0	1	0	1	0	0	0	0	1	1	1	0	1	1	1	0	1	0	1	1	1	1	0	1	0	0	0	1	0	0	1	1	1	1	1	1	0	1	0	0	0	1	1	1	1	1	0	1	0	1	1	0	1	0	1	0	1	1	1	1	0	1	0	1	0	1	1	0
359	other	86	unemployed/seeking employment	false	true	false	false	0	1	0	0	1	0	1	1	0	1	1	1	1	0	0	0	1	0	0	1	0	0	0	0	1	1	1	1	1	1	0	0	1	1	0	1	0	0	1	1	0	1	1	0	0	0	0	1	0	1	1	1	1	0	1	0	1	1	0	1	1	1	0	0	1	1	1	1	0	1	1	1	0	1	0	1	1	0	1	0	0	0	1	0	0	0	0	0	0	0	0	1	0	1	1	1	1	1	0	0
360	male	22	other	false	false	true	false	1	1	1	0	1	0	0	1	0	0	0	0	0	1	0	1	1	1	0	1	1	1	1	1	0	0	0	0	1	1	1	1	1	0	0	1	0	0	1	0	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1	0	1	1	0	1	1	0	1	1	0	1	1	1	1	1	0	0	0	1	1	1	1	0	1	0	0	1	0	0	0	1	0	1	0	0	1	0	0	0	1	1	0	0	0	0
361	other	14	student (university)	true	true	false	false	1	0	0	1	0	1	1	0	1	1	0	0	0	1	0	1	1	0	0	1	0	0	1	1	0	1	1	1	1	0	1	0	1	0	1	0	1	0	1	1	1	1	0	0	1	1	1	1	0	1	1	1	0	1	0	0	1	0	0	1	1	1	1	1	1	0	0	0	1	0	1	1	1	1	0	0	1	0	0	0	0	1	0	0	0	0	0	1	1	1	1	0	1	0	0	0	1	0	1	1
